0;ship;0;barco0;0;1-0;0;70;0.0
0;ship;1;barco1;0;1-0;0;30;0.1
0;ship;2;barco2;0;1-0;0;50;0.5
0;ship;3;barco3;0;0-1;0;70;0.2
0;port;0;shangai;[30.62714873184947, 122.06310305027806];1
0;port;1;rotterdam;[51.94974625239741, 4.145284454152448];1
0;route;0-1;1
2;event;ES1;0;1-0;0.24
2;event;ES1;1;1-0;0.16
2;event;ES1;2;1-0;0.60
2;event;ES1;3;0-1;0.34
12;event;ES1;0;1-0;0.94
12;event;ES1;1;1-0;0.46
12;event;ES2;3;0-1;1-0;1;1
3;event;ES1;0;1-0;0.31
3;event;ES1;1;1-0;0.19
3;event;ES1;2;1-0;0.65
3;event;ES1;3;0-1;0.41
4;event;ES1;0;1-0;0.38
4;event;ES1;1;1-0;0.22
4;event;ES1;2;1-0;0.70
4;event;ES1;3;0-1;0.48
5;event;ES1;0;1-0;0.45
5;event;ES1;1;1-0;0.25
5;event;ES1;2;1-0;0.75
5;event;ES1;3;0-1;0.55
6;event;ES1;0;1-0;0.52
6;event;ES1;1;1-0;0.28
6;event;ES1;2;1-0;0.80
6;event;ES1;3;0-1;0.62
7;event;ES1;0;1-0;0.59
7;event;ES1;1;1-0;0.31
7;event;ES1;2;1-0;0.85
7;event;ES1;3;0-1;0.69
8;event;ES1;0;1-0;0.66
8;event;ES1;1;1-0;0.34
8;event;ES1;2;1-0;0.90
8;event;ES1;3;0-1;0.76
9;event;ES1;0;1-0;0.73
9;event;ES1;1;1-0;0.37
9;event;ES1;2;1-0;0.95
9;event;ES1;3;0-1;0.83
10;event;ES1;0;1-0;0.80
10;event;ES1;1;1-0;0.40
10;event;ES2;2;1-0;0-1;0;1
10;event;ES1;3;0-1;0.90
11;event;ES1;0;1-0;0.87
11;event;ES1;1;1-0;0.43
11;event;ES1;3;0-1;0.97
14;event;ES1;1;1-0;0.52
13;event;ES2;0;1-0;0-1;0;1
13;event;ES1;1;1-0;0.49
15;event;ES1;1;1-0;0.55
1;event;ES1;0;1-0;0.17
1;event;ES1;1;1-0;0.13
1;event;ES1;2;1-0;0.55
1;event;ES1;3;0-1;0.27
